source,relation,target,confidence,note
P0018,SUBMITTED,D-74392810,1.0,VOTER_ID
P0018,SUBMITTED,D-CFD88C60,1.0,DRIVING_LICENSE
P0019,SUBMITTED,D-4DED8B18,1.0,DRIVING_LICENSE
P0019,SUBMITTED,D-EE54D58B,1.0,VOTER_ID
P0019,SUBMITTED,D-9DCDB9F1,1.0,AADHAAR
P0019,SUBMITTED,D-C7494EE5,1.0,PAN
P0020,SUBMITTED,D-8C3D09B5,1.0,VOTER_ID
P0020,SUBMITTED,D-F2D61D3F,1.0,PASSPORT
P0021,SUBMITTED,D-15299AEF,1.0,VOTER_ID
P0021,SUBMITTED,D-5CC9166E,1.0,PASSPORT
P0022,SUBMITTED,D-7A663907,1.0,PASSPORT
P0022,SUBMITTED,D-0CACCF1E,1.0,VOTER_ID
P0022,SUBMITTED,D-E8C85133,1.0,AADHAAR
P0023,SUBMITTED,D-07996620,1.0,DRIVING_LICENSE
P0023,SUBMITTED,D-F499913F,1.0,VOTER_ID
P0023,SUBMITTED,D-C7BA0130,1.0,PAN
P0024,SUBMITTED,D-3FCF93FB,1.0,PAN
P0024,SUBMITTED,D-291BA0F7,1.0,DRIVING_LICENSE
P0024,SUBMITTED,D-1F9E52B1,1.0,PASSPORT
P0024,SUBMITTED,D-3DCBA672,1.0,AADHAAR
P0025,SUBMITTED,D-EED31279,1.0,DRIVING_LICENSE
P0025,SUBMITTED,D-47A70F54,1.0,PASSPORT
P0026,SUBMITTED,D-4ED50856,1.0,DRIVING_LICENSE
P0026,SUBMITTED,D-8E35B800,1.0,PASSPORT
P0026,SUBMITTED,D-6224B0D7,1.0,PAN
P0027,SUBMITTED,D-2AEB5074,1.0,VOTER_ID
P0027,SUBMITTED,D-13666D01,1.0,PASSPORT
P0028,SUBMITTED,D-A1CBA573,1.0,PAN
P0028,SUBMITTED,D-E301EDD1,1.0,DRIVING_LICENSE
P0028,SUBMITTED,D-595213FE,1.0,AADHAAR
P0029,SUBMITTED,D-AC907A96,1.0,PASSPORT
P0029,SUBMITTED,D-9FCDE99A,1.0,PAN
P0029,SUBMITTED,D-BB4C371A,1.0,AADHAAR
P0029,SUBMITTED,D-5D3BA478,1.0,DRIVING_LICENSE
P0030,SUBMITTED,D-D027E609,1.0,VOTER_ID
P0030,SUBMITTED,D-0E484907,1.0,PASSPORT
P0030,SUBMITTED,D-61EBE2F1,1.0,PAN
P0031,SUBMITTED,D-ADA828CB,1.0,AADHAAR
P0031,SUBMITTED,D-57D838C6,1.0,PAN
P0031,SUBMITTED,D-3D671AE1,1.0,DRIVING_LICENSE
P0032,SUBMITTED,D-C37E3F5F,1.0,AADHAAR
P0032,SUBMITTED,D-FE750BAF,1.0,DRIVING_LICENSE
P0032,SUBMITTED,D-4D14E2FB,1.0,VOTER_ID
P0033,SUBMITTED,D-82C6535B,1.0,PASSPORT
P0033,SUBMITTED,D-46092AA4,1.0,VOTER_ID
P0033,SUBMITTED,D-C0E2E00C,1.0,DRIVING_LICENSE
P0034,SUBMITTED,D-8B42211D,1.0,PASSPORT
P0034,SUBMITTED,D-6D3246CD,1.0,PAN
P0035,SUBMITTED,D-A1110E62,1.0,DRIVING_LICENSE
P0035,SUBMITTED,D-A4B87EF8,1.0,PAN
P0036,SUBMITTED,D-A735B5E1,1.0,PASSPORT
P0036,SUBMITTED,D-D4F2A0AC,1.0,PAN
P0036,SUBMITTED,D-6014D485,1.0,AADHAAR
P0037,SUBMITTED,D-3C3BD6DD,1.0,PASSPORT
P0037,SUBMITTED,D-BC7B1F17,1.0,PAN
P0037,SUBMITTED,D-35EA527A,1.0,AADHAAR
P0038,SUBMITTED,D-1C4E68A3,1.0,VOTER_ID
P0038,SUBMITTED,D-97B3C669,1.0,DRIVING_LICENSE
P0039,SUBMITTED,D-9939A829,1.0,DRIVING_LICENSE
P0039,SUBMITTED,D-3E49D5F0,1.0,PAN
P0039,SUBMITTED,D-3ECC13DD,1.0,AADHAAR
P0039,SUBMITTED,D-57B99A84,1.0,PASSPORT
P0040,SUBMITTED,D-6A70A3FF,1.0,PAN
P0040,SUBMITTED,D-07F6ADF9,1.0,VOTER_ID
P0040,SUBMITTED,D-C6953713,1.0,PASSPORT
P0041,SUBMITTED,D-FEDA364F,1.0,PASSPORT
P0041,SUBMITTED,D-CD41EFF3,1.0,VOTER_ID
P0042,SUBMITTED,D-0F922620,1.0,VOTER_ID
P0042,SUBMITTED,D-B1FFF03B,1.0,PASSPORT
P0042,SUBMITTED,D-E45F448B,1.0,PAN
P0042,SUBMITTED,D-E4179A95,1.0,DRIVING_LICENSE
P0043,SUBMITTED,D-EC226FC0,1.0,AADHAAR
P0043,SUBMITTED,D-559DD939,1.0,PASSPORT
P0043,SUBMITTED,D-BE6433D3,1.0,DRIVING_LICENSE
P0043,SUBMITTED,D-29089F93,1.0,PAN
P0044,SUBMITTED,D-1F1F83C6,1.0,DRIVING_LICENSE
P0044,SUBMITTED,D-65C79B1A,1.0,PAN
P0044,SUBMITTED,D-E335A290,1.0,PASSPORT
P0045,SUBMITTED,D-D42E5419,1.0,PASSPORT
P0045,SUBMITTED,D-2E2632B8,1.0,PAN
P0046,SUBMITTED,D-62A50389,1.0,PAN
P0046,SUBMITTED,D-29AE4701,1.0,VOTER_ID
P0046,SUBMITTED,D-73EEDFED,1.0,PASSPORT
P0046,SUBMITTED,D-CC51509A,1.0,AADHAAR
P0047,SUBMITTED,D-34890114,1.0,DRIVING_LICENSE
P0047,SUBMITTED,D-6F48C211,1.0,AADHAAR
P0047,SUBMITTED,D-4A34E456,1.0,PASSPORT
P0048,SUBMITTED,D-CCAA5491,1.0,PAN
P0048,SUBMITTED,D-20E49EA7,1.0,PASSPORT
P0049,SUBMITTED,D-64507793,1.0,DRIVING_LICENSE
P0049,SUBMITTED,D-BF6AD8B3,1.0,VOTER_ID
P0049,SUBMITTED,D-B04B10FC,1.0,PASSPORT
P0050,SUBMITTED,D-D6F96828,1.0,PASSPORT
P0050,SUBMITTED,D-B2B8CE78,1.0,DRIVING_LICENSE
P0050,SUBMITTED,D-76B708BB,1.0,PAN
P0050,SUBMITTED,D-76EAF4DB,1.0,VOTER_ID
P0051,SUBMITTED,D-0B57008D,1.0,AADHAAR
P0051,SUBMITTED,D-F118B5D7,1.0,PAN
P0051,SUBMITTED,D-7E7EF985,1.0,DRIVING_LICENSE
P0051,SUBMITTED,D-AFDC21BF,1.0,PASSPORT
P0052,SUBMITTED,D-1179BEDC,1.0,DRIVING_LICENSE
P0052,SUBMITTED,D-6EF61736,1.0,PASSPORT
P0053,SUBMITTED,D-A4EA2FD1,1.0,PAN
P0053,SUBMITTED,D-5AF4DE78,1.0,PASSPORT
P0054,SUBMITTED,D-62305E4B,1.0,PAN
P0054,SUBMITTED,D-A81FC08E,1.0,DRIVING_LICENSE
P0054,SUBMITTED,D-45A79B83,1.0,VOTER_ID
P0054,SUBMITTED,D-763030AE,1.0,PASSPORT
P0055,SUBMITTED,D-3C860A66,1.0,PASSPORT
P0055,SUBMITTED,D-BFB37074,1.0,VOTER_ID
P0055,SUBMITTED,D-478B1E1E,1.0,DRIVING_LICENSE
P0056,SUBMITTED,D-7FBAF24D,1.0,AADHAAR
P0056,SUBMITTED,D-91FD9AD0,1.0,PASSPORT
P0056,SUBMITTED,D-25AA5E0D,1.0,PAN
P0057,SUBMITTED,D-12A3811A,1.0,DRIVING_LICENSE
P0057,SUBMITTED,D-F0DC2168,1.0,AADHAAR
P0058,SUBMITTED,D-E0588DBF,1.0,AADHAAR
P0058,SUBMITTED,D-503B6F9C,1.0,VOTER_ID
P0058,SUBMITTED,D-163CA92F,1.0,PASSPORT
P0058,SUBMITTED,D-9758E527,1.0,PAN
P0059,SUBMITTED,D-9CA5BAF6,1.0,VOTER_ID
P0059,SUBMITTED,D-31E5304E,1.0,DRIVING_LICENSE
P0060,SUBMITTED,D-6BAAAA25,1.0,PAN
P0060,SUBMITTED,D-9DCB1B88,1.0,DRIVING_LICENSE
P0061,SUBMITTED,D-439A3D99,1.0,AADHAAR
P0061,SUBMITTED,D-2AE96CBD,1.0,PASSPORT
P0061,SUBMITTED,D-957B5283,1.0,PAN
P0062,SUBMITTED,D-B106D43B,1.0,VOTER_ID
P0062,SUBMITTED,D-0DA836EA,1.0,AADHAAR
P0062,SUBMITTED,D-1AD1ADDF,1.0,PASSPORT
P0063,SUBMITTED,D-5BACB8AB,1.0,PASSPORT
P0063,SUBMITTED,D-DC693D0E,1.0,VOTER_ID
P0064,SUBMITTED,D-05DD253D,1.0,AADHAAR
P0064,SUBMITTED,D-577CA855,1.0,VOTER_ID
P0064,SUBMITTED,D-61297C2D,1.0,PAN
P0064,SUBMITTED,D-FD7A6B2B,1.0,PASSPORT
P0065,SUBMITTED,D-F7A7EF73,1.0,VOTER_ID
P0065,SUBMITTED,D-1723B3C1,1.0,AADHAAR
P0065,SUBMITTED,D-F1D259BE,1.0,PAN
P0065,SUBMITTED,D-D74792D1,1.0,DRIVING_LICENSE
P0066,SUBMITTED,D-BD69B45C,1.0,AADHAAR
P0066,SUBMITTED,D-50B70AF6,1.0,PASSPORT
P0066,SUBMITTED,D-CAE3E94D,1.0,PAN
P0067,SUBMITTED,D-8CBB732E,1.0,VOTER_ID
P0067,SUBMITTED,D-D289C324,1.0,PASSPORT
P0067,SUBMITTED,D-71C25090,1.0,PAN
P0068,SUBMITTED,D-A9CE2A87,1.0,PAN
P0068,SUBMITTED,D-0B588283,1.0,DRIVING_LICENSE
P0068,SUBMITTED,D-4E5B0A17,1.0,VOTER_ID
P0069,SUBMITTED,D-EC0CE68D,1.0,AADHAAR
P0069,SUBMITTED,D-68B54334,1.0,DRIVING_LICENSE
P0069,SUBMITTED,D-44A6FFD5,1.0,PASSPORT
P0070,SUBMITTED,D-306B5C33,1.0,PASSPORT
P0070,SUBMITTED,D-9E033F43,1.0,PAN
P0070,SUBMITTED,D-C4A7B55D,1.0,DRIVING_LICENSE
P0070,SUBMITTED,D-7BCB9CB5,1.0,AADHAAR
P0071,SUBMITTED,D-1630DA56,1.0,DRIVING_LICENSE
P0071,SUBMITTED,D-DC466633,1.0,AADHAAR
P0072,SUBMITTED,D-E9C07E74,1.0,AADHAAR
P0072,SUBMITTED,D-DE0B4681,1.0,VOTER_ID
P0073,SUBMITTED,D-109BAAA8,1.0,AADHAAR
P0073,SUBMITTED,D-203722BD,1.0,PASSPORT
P0073,SUBMITTED,D-153EEB7E,1.0,DRIVING_LICENSE
P0073,SUBMITTED,D-834EADA2,1.0,VOTER_ID
P0074,SUBMITTED,D-2C6E786B,1.0,VOTER_ID
P0074,SUBMITTED,D-E4009D2D,1.0,DRIVING_LICENSE
P0074,SUBMITTED,D-8D243BAE,1.0,PASSPORT
P0075,SUBMITTED,D-79A42FE1,1.0,DRIVING_LICENSE
P0075,SUBMITTED,D-8736DBC9,1.0,PASSPORT
P0076,SUBMITTED,D-521353FB,1.0,AADHAAR
P0076,SUBMITTED,D-0C9AA68A,1.0,PASSPORT
P0076,SUBMITTED,D-9D17FEF9,1.0,VOTER_ID
P0076,SUBMITTED,D-95D351A1,1.0,DRIVING_LICENSE
P0077,SUBMITTED,D-445C02F5,1.0,VOTER_ID
P0077,SUBMITTED,D-BAB194DB,1.0,PASSPORT
P0077,SUBMITTED,D-F7BEF06E,1.0,DRIVING_LICENSE
P0077,SUBMITTED,D-00270E8E,1.0,AADHAAR
P0078,SUBMITTED,D-20AD7B47,1.0,DRIVING_LICENSE
P0078,SUBMITTED,D-88DAAEF7,1.0,VOTER_ID
P0079,SUBMITTED,D-293AF524,1.0,AADHAAR
P0079,SUBMITTED,D-D232C5E9,1.0,PASSPORT
P0079,SUBMITTED,D-A3978D6D,1.0,DRIVING_LICENSE
P0080,SUBMITTED,D-DBAAA4A8,1.0,VOTER_ID
P0080,SUBMITTED,D-1B9148DB,1.0,PAN
P0080,SUBMITTED,D-E3A8C744,1.0,PASSPORT
P0080,SUBMITTED,D-6957D556,1.0,AADHAAR
P0081,SUBMITTED,D-E9ECAA5C,1.0,AADHAAR
P0081,SUBMITTED,D-C8F4CBF6,1.0,DRIVING_LICENSE
P0081,SUBMITTED,D-B5969D62,1.0,PAN
P0082,SUBMITTED,D-F990DB17,1.0,PAN
P0082,SUBMITTED,D-5E6F5833,1.0,VOTER_ID
P0082,SUBMITTED,D-432B42B9,1.0,PASSPORT
P0082,SUBMITTED,D-2CD7ED5E,1.0,DRIVING_LICENSE
P0083,SUBMITTED,D-9E3C039E,1.0,PASSPORT
P0083,SUBMITTED,D-9AEFC505,1.0,AADHAAR
P0083,SUBMITTED,D-E51363B6,1.0,VOTER_ID
P0083,SUBMITTED,D-3D3E177D,1.0,PAN
P0084,SUBMITTED,D-E9878016,1.0,PAN
P0084,SUBMITTED,D-6186697E,1.0,VOTER_ID
P0084,SUBMITTED,D-43EF5B81,1.0,PASSPORT
P0085,SUBMITTED,D-7C792FDA,1.0,DRIVING_LICENSE
P0085,SUBMITTED,D-1FEF1E6E,1.0,PASSPORT
P0086,SUBMITTED,D-2990D7F4,1.0,PAN
P0086,SUBMITTED,D-1BD1F5E9,1.0,DRIVING_LICENSE
P0087,SUBMITTED,D-5C293257,1.0,VOTER_ID
P0087,SUBMITTED,D-695D51E7,1.0,AADHAAR
P0087,SUBMITTED,D-A089A620,1.0,DRIVING_LICENSE
P0087,SUBMITTED,D-0FB570FB,1.0,PAN
P0088,SUBMITTED,D-D8D12398,1.0,VOTER_ID
P0088,SUBMITTED,D-A46481D2,1.0,DRIVING_LICENSE
P0089,SUBMITTED,D-F6451538,1.0,PASSPORT
P0089,SUBMITTED,D-EA0902D9,1.0,DRIVING_LICENSE
P0089,SUBMITTED,D-CF756E11,1.0,PAN
P0089,SUBMITTED,D-88C91C4E,1.0,VOTER_ID
P0090,SUBMITTED,D-681BFB37,1.0,PASSPORT
P0090,SUBMITTED,D-EF7B86B4,1.0,PAN
P0090,SUBMITTED,D-E4E24D99,1.0,VOTER_ID
P0022,SAME_DOCUMENT_NUMBER,P0029,0.99,Both 'Swati Kumari Singh' and 'Aditya Lal Rao' hold a AADHAAR with identical document_number 2931 4473 4459 -> identity collision / possible fraud ring.
P0060,SAME_DOCUMENT_NUMBER,P0038,0.99,Both 'Rohit Rao' and 'Amit Jain' hold a DRIVING_LICENSE with identical document_number MH07 20138581874 -> identity collision / possible fraud ring.
P0057,SAME_DOCUMENT_NUMBER,P0005,0.99,Both 'Divya Nath Kapoor' and 'Swati Nath Nair' hold a DRIVING_LICENSE with identical document_number MH12 20184985773 -> identity collision / possible fraud ring.
